"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,Rest of World,Bissau-Guinean,3.67,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.67,0.00,0.00,0.00,0.67,0.00
Jun-26,FTE,Rest of World,Bolivian,29.92,8.00,3.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,12.73,12.20,0.00,0.53,9.19,0.00,0.00,3.00,6.19,0.00
Jun-26,FTE,Rest of World,Bosnian,20.21,10.55,5.89,3.00,0.00,0.00,0.00,1.89,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.67,6.12,3.47,0.00,2.65,3.53,0.00,0.00,3.00,0.53,0.00
Jun-26,FTE,Rest of World,Brazilian,790.85,305.19,110.94,19.00,6.80,6.75,1.00,35.46,31.93,4.00,6.00,0.00,0.00,86.56,5.25,3.61,98.83,321.00,247.58,3.56,69.87,163.66,0.00,4.40,62.53,96.73,1.00
Jun-26,FTE,Rest of World,British Virgin Islander,32.60,15.53,2.78,0.78,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,9.89,0.00,0.25,2.61,11.56,8.56,0.00,3.00,5.51,0.00,0.00,3.00,2.51,0.00
Jun-26,FTE,Rest of World,Bruneian,93.40,86.94,67.02,14.61,0.00,1.00,0.00,25.85,9.76,7.81,8.00,0.00,0.00,3.92,0.00,0.00,16.00,4.55,1.89,0.00,2.65,1.91,0.00,0.00,1.91,0.00,0.00
Jun-26,FTE,Rest of World,Burkinabe,3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00
Jun-26,FTE,Rest of World,Burundi,27.63,13.96,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.56,1.00,0.00,0.40,10.87,9.87,0.00,1.00,2.80,0.00,0.00,0.27,2.53,0.00
Jun-26,FTE,Rest of World,Cambodian,9.17,5.45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.45,0.00,0.00,1.00,1.92,1.92,0.00,0.00,1.80,0.00,0.00,0.80,1.00,0.00
Jun-26,FTE,Rest of World,Cameroonian,682.27,331.71,32.68,2.00,3.00,1.00,0.00,12.68,13.00,1.00,0.00,0.00,0.00,268.36,3.31,0.00,27.36,306.39,275.37,3.12,27.90,44.17,1.00,3.00,21.80,18.37,0.00
